date,nav,applied_ret,net_raw,lev,base_lev,kill,dd3,tvol,mkt_beta,gap_est,secmax
2020-11-30,106.26,-0.01107789083258652,-0.024245759924223703,0.46,0.76,model_decay,-0.1224,0.164,-0.38,0.0046,0.19
2020-12-31,107.6,0.01259592428064122,0.041312622678329455,0.3,0.76,risk_breach,-0.1558,0.164,-0.41,0.0031,0.19
2021-01-29,104.72,-0.026733660195644847,-0.06933436729470015,0.39,0.77,correlation_breakdown,-0.093,0.162,-0.41,0.0039,0.19
2021-02-26,104.67,-0.0005489088862129248,-0.0014248738266130958,0.39,0.77,correlation_breakdown,-0.0254,0.162,-0.42,0.0039,0.19
2021-03-31,105.21,0.005155027273048908,0.010596668963389913,0.49,0.97,correlation_breakdown,-0.015,0.128,-0.42,0.0049,0.18
2021-04-30,106.65,0.013749612744776638,0.02849255313686763,0.48,0.97,correlation_breakdown,-0.0223,0.13,-0.4,0.0049,0.18
2021-05-28,108.68,0.01902506853524436,0.03325824997769501,0.57,0.95,model_decay,0.0184,0.131,-0.39,0.0058,0.19
2021-06-30,109.61,0.0085286565781844,0.015167663004373088,0.56,0.94,model_decay,0.0384,0.133,-0.38,0.0057,0.19
2021-07-30,110.91,0.01182819863735368,0.02019449299601864,0.59,0.98,model_decay,0.0418,0.128,-0.38,0.0059,0.19
2021-08-31,110.76,-0.0013243785087643785,-0.0021885368173545647,0.61,1.01,model_decay,0.0399,0.124,-0.35,0.0061,0.2
2021-09-30,112.9,0.019365593261434787,0.030475861284642174,0.64,1.06,model_decay,0.0191,0.118,-0.34,0.0064,0.19
2021-10-29,116.12,0.028477668455564042,0.04136559290364812,0.69,1.15,model_decay,0.0301,0.109,-0.31,0.007,0.2
2021-11-30,118.01,0.01629092382847516,0.016857106699347098,0.97,2.42,,0.047,0.052,-0.32,0.0098,0.2
2021-12-31,116.15,-0.015792891801638856,-0.015380110860901136,1.03,2.57,,0.0655,0.049,-0.32,0.0104,0.21
2022-01-31,118.7,0.021939175788402883,0.009526368944443177,2.3,2.3,,0.0287,0.054,-0.26,0.0233,0.2
2022-02-28,126.3,0.06404785498392489,0.02165150694420926,2.96,2.96,,0.0222,0.042,-0.28,0.0299,0.18
2022-03-31,136.25,0.07877251488102748,0.041768110633226135,1.89,1.89,,0.0702,0.066,-0.22,0.0191,0.18
2022-04-29,134.08,-0.015921079518783156,-0.011449088907962429,1.39,1.39,,0.173,0.09,-0.25,0.0141,0.18
2022-05-31,133.44,-0.004740650557514696,-0.0036963843182673947,1.28,1.28,,0.1296,0.097,-0.25,0.013,0.22
2022-06-30,129.72,-0.027899428561944176,-0.022424455221392484,1.24,1.24,,0.0566,0.1,-0.21,0.0126,0.2
2022-07-29,130.32,0.004626042042489133,0.004078315308695326,1.13,1.13,,-0.0479,0.11,-0.25,0.0115,0.21
2022-08-31,132.99,0.02052930822602973,0.01816944063094046,1.13,1.13,,-0.028,0.111,-0.21,0.0114,0.18
2022-09-30,136.41,0.025662418562930087,0.022477023169976823,1.14,1.14,,-0.0034,0.109,-0.19,0.0115,0.2
2022-10-31,135.56,-0.006200134354682727,-0.005450547604059299,1.14,1.14,,0.0516,0.11,-0.19,0.0115,0.2
2022-11-30,135.1,-0.0034376494550794733,-0.0030573309330552616,1.12,1.12,,0.0402,0.111,-0.04,0.0114,0.21
2022-12-30,122.29,-0.09479910498785858,-0.08521574797957579,1.11,1.11,,0.0158,0.112,-0.01,0.0112,0.21
2023-01-31,124.38,0.017105622882421134,0.02103309457948834,0.81,0.81,,-0.1035,0.154,-0.09,0.0082,0.19
2023-02-28,125.55,0.009409850297404444,0.011532832174809991,0.82,0.82,,-0.0825,0.153,-0.08,0.0082,0.2
2023-03-31,126.74,0.009488543991757125,0.010571321502757783,0.9,0.9,,-0.0707,0.139,-0.08,0.0091,0.21
2023-04-28,126.33,-0.0032330292605642547,-0.004785913351316483,0.68,1.13,model_decay,0.0364,0.111,-0.08,0.0068,0.2
2023-05-31,126.16,-0.0013240168535428559,-0.001949836211524217,0.68,1.13,model_decay,0.0157,0.11,-0.08,0.0069,0.2
2023-06-30,124.21,-0.015481522671898222,-0.02280806390497105,0.68,1.13,model_decay,0.0049,0.11,-0.1,0.0069,0.2
2023-07-31,126.1,0.015235237756127638,0.021991468959226608,0.69,1.15,model_decay,-0.02,0.108,-0.11,0.007,0.21
2023-08-31,126.29,0.0014780016431237325,0.0021598746691477077,0.68,1.14,model_decay,-0.0018,0.11,-0.12,0.0069,0.2
2023-09-29,127.03,0.005853577576662134,0.008343566699108497,0.7,1.17,model_decay,0.001,0.107,-0.12,0.0071,0.21
