Date,QQQ,SPY
2025-12-19,615.47998046875,678.7363891601562
2025-12-22,618.4302368164062,682.96484375
2025-12-23,621.3265380859375,686.0863037109375
2025-12-24,623.144287109375,688.4996948242188
2025-12-26,623.1043090820312,688.4298706054688
2025-12-29,620.088134765625,685.9765625
2025-12-30,618.64990234375,685.138916015625
2025-12-31,613.536376953125,680.062744140625
2026-01-02,612.347900390625,681.309326171875
2026-01-05,617.2117309570312,685.846923828125
2026-01-06,622.6348876953125,689.92578125
2026-01-07,623.2341918945312,687.701904296875
2026-01-08,619.6885986328125,687.632080078125
2026-01-09,625.86083984375,692.1796264648438
2026-01-12,626.3801879882812,693.2666625976562
2026-01-13,625.4513549804688,691.8804931640625
2026-01-14,618.769775390625,688.479736328125
2026-01-15,620.9970092773438,690.3546142578125
2026-01-16,620.4776611328125,689.7761840820312
2026-01-20,607.2942504882812,675.7345581054688
2026-01-21,615.50390625,683.5332641601562
2026-01-22,619.978271484375,687.103515625
2026-01-23,621.935791015625,687.352783203125
2026-01-26,624.67236328125,690.84326171875
2026-01-27,630.335205078125,693.5957641601562
2026-01-28,632.4225463867188,693.5259399414062
2026-01-29,628.6373291015625,692.1497192382812
2026-01-30,621.0868530273438,690.0853271484375
2026-02-02,625.3515014648438,693.5159912109375
2026-02-03,615.7435913085938,687.6520385742188
2026-02-04,604.9871826171875,684.3211059570312
2026-02-05,596.2781982421875,675.7744750976562
2026-02-06,608.8822631835938,688.739013671875
2026-02-09,613.54638671875,692.0599975585938
2026-02-10,610.699951171875,690.2349243164062
2026-02-11,612.337890625,690.075439453125
2026-02-12,599.8836059570312,679.41455078125
2026-02-13,601.1619873046875,679.8931884765625
2026-02-17,600.542724609375,680.9901733398438
2026-02-18,605.027099609375,684.4208374023438
2026-02-19,602.7100219726562,682.61572265625
2026-02-20,608.0433349609375,687.5523071289062
2026-02-23,600.652587890625,680.531494140625
2026-02-24,607.1044921875,685.4779052734375
2026-02-25,615.9033813476562,691.26220703125
2026-02-26,608.4727783203125,687.422607421875
2026-02-27,606.5252075195312,684.1216430664062
2026-03-02,607.32421875,684.5106201171875
2026-03-03,600.8224487304688,678.4771118164062
2026-03-04,609.9808959960938,683.2639770507812
2026-03-05,608.1431274414062,679.4544067382812
2026-03-06,598.9946899414062,670.5487060546875
2026-03-09,606.99462890625,676.4227294921875
2026-03-10,607.004638671875,675.3356323242188
2026-03-11,606.9247436523438,674.4879760742188
2026-03-12,596.5078735351562,664.2459106445312
2026-03-13,592.9722900390625,660.4862060546875
2026-03-16,599.6239013671875,667.2078857421875
2026-03-17,602.5502319335938,668.9630126953125
2026-03-18,594.15087890625,659.6285400390625
2026-03-19,592.273193359375,658.0029907226562
2026-03-20,581.3269653320312,648.5700073242188
2026-03-23,588.0,655.3800048828125
2026-03-24,583.97998046875,653.1799926757812
2026-03-25,587.8200073242188,656.8200073242188
2026-03-26,573.7899780273438,645.0900268554688
2026-03-27,562.5800170898438,634.0900268554688
2026-03-30,558.280029296875,631.969970703125
2026-03-31,577.1799926757812,650.3400268554688
2026-04-01,584.3099975585938,655.239990234375
2026-04-02,584.97998046875,655.8300170898438
2026-04-06,588.5,658.9299926757812
2026-04-07,588.5900268554688,659.219970703125
2026-04-08,606.0900268554688,676.010009765625
